1775,Twisted Pine Raspberry Wheat Ale,21,Twisted Pine Brewing Company
1776,Twisted Pine Brown Ale,21,Twisted Pine Brewing Company
1778,Twisted Pine Stout,21,Twisted Pine Brewing Company
1783,Traquair House Ale,22,Traquair House Brewery Lld
1785,Traquair Jacobite,22,Traquair House Brewery Lld
1788,Ω-naught (Omeganaught),24,Three Floyds Brewing Co. / Brewery & Pub
1789,Alpha King Pale Ale,24,Three Floyds Brewing Co. / Brewery & Pub
1790,Alpha Klaus Xmas Porter,24,Three Floyds Brewing Co. / Brewery & Pub
1792,Apocalypse Cow,24,Three Floyds Brewing Co. / Brewery & Pub
1793,Arctic Panzer Wolf,24,Three Floyds Brewing Co. / Brewery & Pub
1794,Barrel Aged Behemoth,24,Three Floyds Brewing Co. / Brewery & Pub
1795,Barrel Aged Black Sun Stout,24,Three Floyds Brewing Co. / Brewery & Pub
1797,Barrel Aged Moloko,24,Three Floyds Brewing Co. / Brewery & Pub
1798,Barrel Aged Popskull,24,Three Floyds Brewing Co. / Brewery & Pub
1799,Behemoth Blonde Barleywine,24,Three Floyds Brewing Co. / Brewery & Pub
1800,Black Sun Stout,24,Three Floyds Brewing Co. / Brewery & Pub
1801,Blackheart,24,Three Floyds Brewing Co. / Brewery & Pub
1802,Brian Boru Old Irish Red,24,Three Floyds Brewing Co. / Brewery & Pub
1803,Broo Doo,24,Three Floyds Brewing Co. / Brewery & Pub
1807,Dark Lord Imperial Stout,24,Three Floyds Brewing Co. / Brewery & Pub
1810,Dreadnaught IPA,24,Three Floyds Brewing Co. / Brewery & Pub
1811,Drunk Monk Hefeweizen,24,Three Floyds Brewing Co. / Brewery & Pub
1813,Gorch Fock,24,Three Floyds Brewing Co. / Brewery & Pub
1815,Gumballhead,24,Three Floyds Brewing Co. / Brewery & Pub
1816,Hell's Black Intelligencer,24,Three Floyds Brewing Co. / Brewery & Pub
1818,Ich Bin Schwartz Genüg Für Dich?,24,Three Floyds Brewing Co. / Brewery & Pub
1820,Jinx Proof,24,Three Floyds Brewing Co. / Brewery & Pub
1821,Lord Admiral Nelson,24,Three Floyds Brewing Co. / Brewery & Pub
